act,section,count
Transportation of Animal Act 1978,51,184
PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012,5(n),184
"REPRESENTATION OF PEOPLE ACT, 1950,1951,1989",133,180
"INDIAN MOTOR VEHICLES ACT, 1988",186,180
IPC 1860,404,179
Transportation of Animal Act 1978,57,179
"PRIZE CHITS & MONEY CIRCULATION SCHEMES (BANNING) ACT, 1978",5,179
IPC 1860,368,177
(n) PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012,12,177
IPC 1860,292,177
"The Scheduled Castes and the Scheduled Tribes (Prevention of Atrocities) Amendment Bill, 2015",0,177
The Central Motor Vehicle Rules 2015,125(E),176
Transportation of Animal Act 1978,47,176
CHILD LABOUR (PROHIBITION & REGULATION) AMENDMENT ACT 2016,14,175
"INDIAN MOTOR VEHICLES ACT, 1988",14,174
IPC 1860,142,173
IPC 1860,389,173
"PASSPORTS ACT, 1967",12,170
IPC 1860,495,170
IPC 1860,211,169
THE KARNATAKA PREVENTION OF SLAUGHTER AND PRESERVATION OF CATTLE ACT-2020,12(2),168
(I) PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012,6,168
"INDIAN MOTOR VEHICLES ACT, 1988",191,167
IPC 1860,388,167
"PREVENTION OF DAMAGE TO PUBLIC PROPERTY ACT, 1984",3(2),166
"IMMORAL TRAFFIC PREVENTION ACT, 1956",3(1),166
"WILD LIFE (PROTECTION) ACT, 1972",51,166
IPC 1860,363A,165
PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012,5(m),165
"Cigarettes and Other Tobacco Products (Prohibition of Advertisement and Regulation of Trade and Commerce, Production,Supply and Distribution) Rules - 2004",6(B),164
Transportation of Animal Act 1978,46,164
"INDIAN MOTOR VEHICLES ACT, 1988",4(1),164
(I) PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012,4,162
IPC 1860,350,162
"INDIAN MOTOR VEHICLES ACT, 1988",337,161
Transportation of Animal Act 1978,48,161
"REPRESENTATION OF PEOPLE ACT, 1950,1951,1989",123,160
"INDIAN MOTOR VEHICLES ACT, 1988",199,159
"THE PROHIBITION OF CHILD MARRIAGE (KARNATAKA AMENDMENT) ACT, 2016",11,158
"ARMS ACT, 1959",1B,158
"WILD LIFE (PROTECTION) ACT, 1972",9,158
"CHILD LABOUR (PROHIBITION & REGULATION) ACT,1986",14,157
"NARCOTIC DRUGS & PSYCHOTROPIC SUBSTANCES ACT, 1985",21(c),156
IPC 1860,205,156
"INDIAN ARMS ACT, 1959",30,155
IPC 1860,171G,154
"CHILD LABOUR (PROHIBITION & REGULATION) ACT,1986",14(a),153
KARNATAKA MONEY LENDERS ACT 1961,5,153
IPC 1860,37,152
"INDIAN MOTOR VEHICLES ACT, 1988",130(3),151
KARNATAKA MINOR MINERAL CONSISTENT RULE 1994,44(3),151
IPC 1860,382,150
KARNATAKA FOREST ACT 1963,62,150
IPC 1860,315,150
"ARMS ACT, 1959",1A,149
PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012,14,149
"(D) INDIAN MOTOR VEHICLES ACT, 1988",192(A),149
Transportation of Animal Act 1978,49,148
KARNATAKA LAND REVENUE(AMENDMENT) ACT-2007,73,146
INDIAN ELECTRICITY ACT (AMEND.) 2003,135,146
IPC 1860,370A(2),145
Private Security Regulation act 2005,20,145
"(A) INDIAN MOTOR VEHICLES ACT, 1988",177,145
Transportation of Animal Act 1978,54,145
"(r)(s) SC AND THE ST (PREVENTION OF ATTROCITIES) ACT, 1989",3(2),144
Transportation of Animal Act 1978,50,144
"BONDED LABOUR SYSTEM (ABOLITION) ACT, 1976",16,143
"INDIAN MOTOR VEHICLES ACT, 1988",194,143
PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012,16,143
"INDIAN MOTOR VEHICLES ACT, 1988",179,142
"KARNATAKA PROHIBITION OF VIOLENCE AGAINST MEDICARE SERVICE PERSONNEL AND DAMAGE TO PROPERTY IN MEDICARE SERVICE INSTITUTIONS ACT , 2009",3,142
"THE CENTRAL MOTOR VEHICLES RULES, 1989",52,142
INDIAN ELECTRICITY ACT (AMEND.) 2003,139,142
"COPYRIGHT ACT, 1957",65,141
Transportation of Animal Act 1978,52,141
"JUVENILE JUSTICE ACT, 2000",75,141
"COTPA, Cigarettes and Other Tobacco Products,Act 2003",7(2),141
"PDS CONTROLING ORDER, 1992",18(2),140
"The Muslim Women(Protection of Rights on Marriage) Act, 2019",4,140
IPC 1860,449,140
IPC 1860,134,139
"Juvenile Justice (Care and Protection of Children) Act, 2015",79,139
IPC 1860,453,139
PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012,15,139
The Central Motor Vehicle Rules 2015,3,136
Transportation of Animal Act 1978,53,136
(n) PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012,8,136
"(n),506 PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",6,135
IPC 1860,291,135
KARNATAKA FOREST ACT 1963,24,135
"KARNATAKA POLICE (AMENDMENT) ACT, 2021",78(1),134
"THE KARNATAKA EPIDEMIC DISEASES ACT, 2020",5(2),134
KARNATAKA FOREST ACT 1963,80,134
"KARNATAKA PROHIBITION OF BEGGARY ACT, 1975",11,133
PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012,3(a),133
IPC 1860,277,132
"ARMS ACT, 1959",30,131
"(r),3(1)(s) IPC 1860",324,128
"BONDED LABOUR SYSTEM (ABOLITION) ACT, 1976",18,127
"THE CENTRAL MOTOR VEHICLES RULES, 1989",51,126
B PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012,6,126
IPC 1860,370(2),125
The Central Motor Vehicle Rules 2015,1,125
MMDR (MINES AND MINERALS REGULATION OF DEVELOPMENT) ACT 1957,2,125
"PREVENTION OF DAMAGE TO PUBLIC PROPERTY ACT, 1984",4,124
IPC 1860,340,124
"WILD LIFE (PROTECTION) ACT, 1972",39,124
"NARCOTIC DRUGS & PSYCHOTROPIC SUBSTANCES ACT, 1985",20A,123
"BONDED LABOUR SYSTEM (ABOLITION) ACT, 1976",17,123
IPC 1860,171,123
The Central Motor Vehicle Rules 2015,4,122
"EXPLOSIVES ACT, 1884",9(B),122
"NARCOTIC DRUGS AND PSYCHOTROPIC SUBSTANCES ACT, 1985",20(a),121
(i)(n) PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012,4,121
IPC 1860,189,121
"PREVENTION OF CRUELTY TO ANIMALS ACT, 1960",8,121
IPC 1860,75,121
"FOREIGNERS ACT, 1946",14(a),120
"IMMORAL TRAFFIC PREVENTION ACT, 1956",8,120
"Cigarettes and Other Tobacco Products (Prohibition of Advertisement and Regulation of Trade and Commerce, Production,Supply and Distribution) Rules - 2004",5,120
IPC 1860,461,120
KARNTAKA PREVENTION OF COW SLANGHTER & CATTLE PREVENTION ACT-1964,12,120
Karnataka Essential Commodities (Storage Accounts Maintaining Value Notification) Order 1981,6,119
KARNATAKA MONEY LENDERS ACT 1961,41,119
LIQUIFIED PETROLEUM GAS SUPPLY & CONTROL ORDER 2000,3,119
"NARCOTIC DRUGS & PSYCHOTROPIC SUBSTANCES ACT, 1985",20(ii),119
IPC 1860,348,119
PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012,9(m),119
IPC 1860,376(F),119
KARNTAKA PREVENTION OF COW SLANGHTER & CATTLE PREVENTION ACT-1964,10,118
Transportation of Animal Act 1978,55,118
KARNATAKA MINOR MINERAL CONSISTENT RULE 1994,46,118
"Cigarettes and Other Tobacco Products (Prohibition of Advertisement and Regulation of Trade and Commerce, Production,Supply and Distribution) Rules - 2004",21,117
IPC 1860,153B,117
"INDIAN ARMS ACT, 1959",25(1B),117
"INDIAN MOTOR VEHICLES ACT, 1988",194C,116
"NARCOTIC DRUGS AND PSYCHOTROPIC SUBSTANCES ACT, 1985",20A,115
"THE EPIDEMIC DISEASES (AMENDMENT) ORDINANCE, 2020",4,115
IPC 1860,297,115
The Karnataka Prisons (Amendment) Act-2022,42,114
"KARNATAKA POLICE (AMENDMENT) ACT, 2021",80,114
(r)(s) IPC 1860,504,114
The banning of unregulated deposit schemes act 2019,21,113
(i)(n) PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012,5(L),113
IPC 1860,370(A),112
PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012,5(j),111
The Karnataka Protection of Interest Depositors in Financial Establishment Act 2004,9,111
"PREV. OF DAMAGE TO PUBLIC PROPERTY ACT, 1984",4,111
LIQUIFIED PETROLEUM GAS SUPPLY & CONTROL ORDER 2000,4,110
"(r),3(1)(s),3(2)(v-a) IPC 1860",504,110
KARNATAKA MINOR MINERAL CONSISTENT RULE 1994,13,110
"PREVENTION OF DAMAGE TO PUBLIC PROPERTY ACT, 1984",3(1),109
"KARNATAKA POLICE ACT, 1963",105,108
CHIT FUNDS ACT 1982,4,107
The Central Motor Vehicle Rules 2015,2,107
INFORMATION TECHNOLOGY ACT 2000,67(D),107
"KARNATAKA POLICE (AMENDMENT) ACT, 2021",79,106
KARNATAKA ESSENTIAL COMMODITIES( PUBLIC DISTRIBUTION SYSTEM) PUBLIC CONTROL ORDER 1992,18(A),105
"THE KARNATAKA EPIDEMIC DISEASES ACT, 2020",5(3),105
"REPRESENTATION OF PEOPLE ACT, 1951 & 1988",133,105
"PREVENTION OF CRUELTY TO ANIMALS ACT, 1960",3,105
IPC 1860,496,105
IPC 1860,305,105
IPC 1860,445,105
KARNATAKA OPEN PLACE DISFIGUREMENT ACT 1951 & 1981,6,104
"KARNATAKA EXCISE ACT, 1965",43,103
"(i),8,4 ESSENTIAL COMMODITIES ACT, 1955",3,102
"(i),8,4 ESSENTIAL COMMODITIES ACT, 1955",7,102
CHILD LABOUR (PROHIBITION & REGULATION) AMENDMENT ACT 2016,3,102
(r)(s) IPC 1860,506,102
(n) PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012,17,102
"CODE OF CRIMINAL PROCEDURE, 1973",116,102
"INDIAN ARMS ACT, 1959",25(1),101
IPC 1860,166(a),101
"PASSPORTS ACT, 1967",12B,101
KARNTAKA PREVENTION OF COW SLANGHTER & CATTLE PREVENTION ACT-1964,11(d),101
KARNATAKA ESSENTIAL COMMODITIES( PUBLIC DISTRIBUTION SYSTEM) PUBLIC CONTROL ORDER 1992,18,100
INFORMATION TECHNOLOGY ACT 2000,66(B),100
KARNATAKA FOREST RULES,145,100
(1A) KARNATAKA MINOR MINERAL CONSISTENT RULE 1994,42,99
INFORMATION TECHNOLOGY ACT 2000,67(C),99
"ENVIRONMENT (PROTECTION) ACT, 1986",15,99
"EXPLOSIVE ACT, 1884",9B(b),98
IPC 1860,357,98
IPC 1860,370(3),98
PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012,9,98
"INDIAN MOTOR VEHICLES ACT, 1988",106,98
"EPIDEMIC DISEASES ACT, 1897",5,97
"KARNATAKA PRIVATE MEDICAL ESTABLISHMENT ACT, 2007",19,97
"(r),3(1)(s),3(2)(va) IPC 1860",504,97
(1A) KARNATAKA MINOR MINERAL CONSISTENT RULE 1994,44,97
"NARCOTIC DRUGS & PSYCHOTROPIC SUBSTANCES ACT, 1985",8,97
IPC 1860,124A,96
INFORMATION TECHNOLOGY ACT 2000,65,96
"KARNATAKA POLICE ACT, 1963",102,95
"ARMS ACT, 1959",25(1-B),94
"INDIAN MOTOR VEHICLES ACT, 1988",201,94
IPC 1860,195,94
KARNATAKA FOREST RULES,165,94
"PREVENTION OF CRUELTY TO ANIMALS ACT, 1960",9,94
"THE KARNATAKA EPIDEMIC DISEASES ACT, 2020",8,93
"COPYRIGHT ACT, 1957",51(A),93
"RELIGIOUS INSTITUTIONS (PREVENTION OF MISUSE) ACT, 1988",7,93
(10) IPC 1860,504,93
IPC 1860,370(4),93
KARNATAKA OPEN PLACE DISFIGUREMENT ACT 1951 & 1981,5,92
"REPRESENTATION OF PEOPLE ACT, 1951 & 1988",123,92
MMDR (MINES AND MINERALS REGULATION OF DEVELOPMENT) ACT 1957,44,92
"RAILWAYS ACT, 1989",147,92
"(i),8,4 ESSENTIAL COMMODITIES ACT, 1955",6(A),91
"(n),376(3) PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",6,91
IPC 1860,180,91
"SC AND THE ST (PREVENTION OF ATTROCITIES) ACT, 1989",3(X),91
"SC AND THE ST (PREVENTION OF ATTROCITIES) ACT, 1989",3(10),91
IPC 1860,329,91
(1A) KARNATAKA MINOR MINERAL CONSISTENT RULE 1994,43,91
"NARCOTIC DRUGS & PSYCHOTROPIC SUBSTANCES ACT, 1985",21,90
IPC 1860,117,90
IPC 1860,501,90
"(r),3(1)(s),3(2)(va) IPC 1860",323,90
CHILD LABOUR (PROHIBITION & REGULATION) AMENDMENT ACT 2016,14(a),89
"(r),3(1)(s),3(2)(v-a) IPC 1860",506,89
LIQUIFIED PETROLEUM GAS SUPPLY & CONTROL ORDER 2000,6,89
"PREVENTION OF CRUELTY TO ANIMALS ACT, 1960",11(E),88
LIQUIFIED PETROLEUM GAS SUPPLY & CONTROL ORDER 2000,7,88
"(r),3(1)(s),3(2)(va) IPC 1860",506,88
IPC 1860,489D,88
"INDIAN MOTOR VEHICLES ACT, 1988",17(1),88
"INDIAN MOTOR VEHICLES ACT, 1988",53(1),88
(r)(s) IPC 1860,34,88
IPC 1860,476,88
"KARNATAKA EXCISE ACT, 1965",11,87
"(r),3(1)(s) IPC 1860",149,87
The Central Motor Vehicle Rules 2015,115,87
"REGISTRATION OF FOREIGNERS ACT, 1939",5,86
"Juvenile Justice (Care and Protection of Children) Act, 2015",81,86
"ESSENTIAL COMMODITIES ACT, 1955",4,85
"PREVENTION OF CRUELTY TO ANIMALS ACT, 1960",4,85
PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012,5(l),85
"KARNATAKA POLICE ACT, 1963",96(E),85
"PRIZE CHITS & MONEY CIRCULATION SCHEMES (BANNING) ACT, 1978",6,85
"NARCOTIC DRUGS & PSYCHOTROPIC SUBSTANCES ACT, 1985",22,84
"PRIZE CHITS & MONEY CIRCULATION SCHEMES (BANNING) ACT, 1978",3,84
INDIAN ELECTRICITY ACT (AMEND.) 2003,136,84
"INDIAN MOTOR VEHICLES ACT, 1988",181(4),84
IPC 1860,316,84
IPC 1860,356,84
"Prohibition of Electronic Cigarettes(Production,Manufacture,Import, Export,Transport,Sale, Distribution,Storage and Advertisement) Act 2019",7,83
"INDIAN MOTOR VEHICLES ACT, 1988",279,83
"Cigarettes and Other Tobacco Products (Prohibition of Advertisement and Regulation of Trade and Commerce, Production,Supply and Distribution) Rules - 2004",20(2),82
"INDIAN MOTOR VEHICLES ACT, 1988",15(C),82
"(n),506 PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",4,82
"COTPA, Cigarettes and Other Tobacco Products,Act 2003",7(1),82
"INDIAN MOTOR VEHICLES ACT, 1988",121,82
IPC 1860,483,81
THE KARNATAKA PREVENTION OF SLAUGHTER AND PRESERVATION OF CATTLE ACT-2020,8,81
PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012,4(1),81
"WILD ANIMAL PROTECTION ACT, 1972",51,81
IPC 1860,171I,80
"EXPLOSIVES ACT, 1884",34,80
(r)(s) IPC 1860,323,80
IPC 1860,440,80
(r) IPC 1860,504,80
"PREVENTION OF INSULT TO NATIONAL HONOURS ACT, 1971",2,79
LIQUIFIED PETROLEUM GAS SUPPLY & CONTROL ORDER 2000,3(1),79
IPC 1860,225,79
"PASSPORTS ACT, 1967",12(1A),78
"Prohibition of Electronic Cigarettes(Production,Manufacture,Import, Export,Transport,Sale, Distribution,Storage and Advertisement) Act 2019",8,78
"KARNATAKA EXCISE ACT, 1965",13(1),78
TRADE MARKS ACT 1999,103,78
IPC 1860,326(A),78
"ESSENTIAL COMMODITIES ACT, 1955",6,78
LIQUIFIED PETROLEUM GAS SUPPLY & CONTROL ORDER 2000,4(1),78
INFORMATION TECHNOLOGY ACT 2008,66(A),77
"ESSENTIAL COMMODITIES ACT, 1955",5,77
(10) IPC 1860,34,77
(10) IPC 1860,323,76
IPC 1860,321,76
KARNATAKA MINOR MINERAL CONSISTENT RULE 1994,42(3),76
Karnataka Essential Commodities (Storage Accounts Maintaining Value Notification) Order 1981,4,75
"(r),3(1)(s),3(2)(v-a) IPC 1860",323,75
"(r),3(1)(s),3(2)(va) IPC 1860",34,75
KARNATAKA MINOR MINERAL CONSISTENT RULE 1994,41(1),75
(B) IPC 1860,420,74
"KARNATAKA EXCISE ACT, 1965",13,74
Karnataka Essential Commodities (Storage Accounts Maintaining Value Notification) Order 1981,8,74
IPC 1860,119,74
"COPYRIGHT ACT, 1957",69,74
IPC 1860,374,74
IPC 1860,319,74
Prevention of Cruelty to Animals (Slaughter House) Rules 2001,4,74
KARNATAKA MINOR MINERAL CONSISTENT RULE 1994,0,74
IPC 1860,349,74
INFORMATION TECHNOLOGY ACT 2008,66(B),73
"NARCOTIC DRUGS & PSYCHOTROPIC SUBSTANCES ACT, 1985",8B,73
IPC 1860,376(J),73
"INDIAN MOTOR VEHICLES ACT, 1988",197,73
"COTPA, Cigarettes and Other Tobacco Products Act (Amendment) Bill 2015",20(2),72
"THE EPIDEMIC DISEASES (AMENDMENT) ORDINANCE, 2020",5(3),72
IPC 1860,508,72
"INDIAN ARMS ACT, 1959",27(1),72
"(r),3(1)(s) IPC 1860",341,72
(10) IPC 1860,506,72
IPC 1860,334,72
IPC 1860,475,72
"KARNATAKA EXCISE ACT, 1965",43(A),72
KARNATAKA FOREST ACT 1963,71(A),72
IPC 1860,23,71
"COPYRIGHT ACT, 1957",37,71
INFORMATION TECHNOLOGY ACT 2000,66(A),71
IPC 1860,486,71
B PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012,4,71
IPC 1860,346,71
"INDIAN MOTOR VEHICLES ACT, 1988",179(1),71
"MOTOR VEHICLE ACT, 1954",177,71
"NARCOTIC DRUGS & PSYCHOTROPIC SUBSTANCES ACT, 1985",27(a),71
"ARMS ACT, 1959",7,71
(II) IPC 1860,376(2),71
"PREVENTION OF DESTRUCTION AND LOSS OF PROPERTY ACT, 1981",2(b),70
"Rules Of The Roads Regulations, 1989",7,70
KARNATAKA ESSENTIAL COMMODITIES( PUBLIC DISTRIBUTION SYSTEM) PUBLIC CONTROL ORDER 1992,18(c),69
MMDR (MINES AND MINERALS REGULATION OF DEVELOPMENT) ACT 1957,3,69
"COTPA, Cigarettes and Other Tobacco Products Act (Amendment) Bill 2015",24,68
IPC 1860,506(1),68
KARNATAKA MOTOR VEHICLE RULE,177,68
IPC 1860,443,68
"DOWRY PROHIBITION ACT, 1961",5,68
"SC AND THE ST (PREVENTION OF ATTROCITIES) ACT, 1989",3(V),68
KARNATAKA ESSENTIAL COMMODITIES( PUBLIC DISTRIBUTION SYSTEM) PUBLIC CONTROL ORDER 1992,3,67
KARNATAKA ESSENTIAL COMMODITIES( PUBLIC DISTRIBUTION SYSTEM) PUBLIC CONTROL ORDER 1992,7,67
KARNATAKA MONEY LENDERS ACT 1961,37,67
"IMMORAL TRAFFIC PREVENTION ACT, 1956",3(2A),67
IPC 1860,510,67
"WILD LIFE (PROTECTION) ACT, 1972",50,67
(D) IPC 1860,379,67
"MOTOR VEHICLE ACT, 1954",134,66
"IMMORAL TRAFFIC PREVENTION ACT, 1956",9,66
"INDIAN MOTOR VEHICLES ACT, 1988",230,66
INDIAN TELEGRAPH ACT - 1885,25,66
INFORMATION TECHNOLOGY ACT 2000,66(b),66
"KARNATAKA IRRIGATION ACT, 1965",55,66
"(r),3(1)(s),3(2)(v-a) IPC 1860",34,66
(A) Transportation of Animal Act 1978,97,66
IPC 1860,110,66
Scheduled Castes and Scheduled Tribes (Prevention of Atrocities) Amendment Ordinance 2014,3,66
"WILD ANIMAL PROTECTION ACT, 1972",9,66
"PREVENTION OF CRUELTY TO ANIMALS ACT, 1960",11(h),66
"KARNATAKA POLICE ACT, 1963",92(I),65
"FOREIGNERS ORDER ACT, 1948",7(2),65
"THE DISASTER MANAGEMENT ACT, 2005",54,65
"MOTOR VEHICLE ACT, 1954",192,65
"(r),3(1)(s) IPC 1860",143,65
IPC 1860,116,65
PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012,9(L),65
Prevention of Cruelty to Animals (Slaughter House) Rules 2001,5,65
"Cigarettes and Other Tobacco Products (Prohibition of Advertisement and Regulation of Trade and Commerce, Production,Supply and Distribution) Rules - 2004",4,64
CHILD MARRIAGE RESTRAINT ACT,4,64
IPC 1860,489E,64
TRADE MARKS ACT 1999,104,64
Prevention of Cruelty to Animals (Slaughter House) Rules 2001,7,64
"(D) INDIAN MOTOR VEHICLES ACT, 1988",66,64
IPC 1860,367,63
"PREV. OF DAMAGE TO PUBLIC PROPERTY ACT, 1984",2,63
KARNATAKA ESSENTIAL COMMODITIES( PUBLIC DISTRIBUTION SYSTEM) PUBLIC CONTROL ORDER 1992,18(b),62
THE KARNATAKA PREVENTION OF SLAUGHTER AND PRESERVATION OF CATTLE ACT-2020,6,62
"IMMORAL TRAFFIC PREVENTION ACT, 1956",5(1),62
KARNATAKA LAND REVENUE ACT 1964,96,62
"Juvenile Justice (Care and Protection of Children) Act, 2015",80,62
(A) Transportation of Animal Act 1978,98,62
(V) IPC 1860,34,62
"COPYRIGHT ACT, 1957",68A,62
Prevention of Cruelty to Animals (Slaughter House) Rules 2001,8,62
"INDIAN MOTOR VEHICLES ACT, 1988",195,61
PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012,21,61
KARNATAKA FOREST ACT 1963,104(A),61
"PASSPORTS ACT, 1967",12A,60
"JUVENILE JUSTICE ACT, 2000",23,60
"REPRESENTATION OF PEOPLE ACT, 1950,1951,1989",125,60
"NARCOTIC DRUGS & PSYCHOTROPIC SUBSTANCES ACT, 1985",20(C),60
IPC 1860,152,60
IPC 1860,36,60
(r) IPC 1860,34,60
"(D) INDIAN MOTOR VEHICLES ACT, 1988",192,60
"Rules Of The Roads Regulations, 1989",17(1),60
KARNATAKA MINOR MINERAL CONSISTENT RULE 1994,42(5),60
(d) IPC 1860,379,59
"SC AND THE ST (PREVENTION OF ATTROCITIES) ACT, 1989",3(x),59
IPC 1860,396,59
(r) IPC 1860,506,59
Explosive Rules 2008,74,59
Explosive Rules 2008,83,59
Explosive Rules 2008,127,59
"FOREIGNERS ACT, 1946",14(c),58
"NARCOTIC DRUGS AND PSYCHOTROPIC SUBSTANCES ACT, 1985",27A,58
KARNATAKA MINOR MINERAL CONSISTENT RULE 1994,21,58
"PREVENTION OF DESTRUCTION AND LOSS OF PROPERTY ACT, 1981",3,58
"THE DISASTER MANAGEMENT ACT, 2005",53,58
IPC 1860,24,58
"/181 INDIAN MOTOR VEHICLES ACT, 1988",196,58
IPC 1860,446,58
IPC 1860,223,58
"WILD LIFE (PROTECTION) ACT, 1972",44,58
"ARMS ACT, 1959",27(1),58
IPC 1860,218,57
"KARNATAKA EXCISE ACT, 1965",13(A),57
IPC 1860,456,57
"INDIAN MOTOR VEHICLES ACT, 1988",181(5),57
(A) Transportation of Animal Act 1978,96,57
"PREVENTION OF DAMAGE TO PUBLIC PROPERTY ACT, 1984",2,57
(r) IPC 1860,323,57
INFORMATION TECHNOLOGY ACT 2000,72(A),57
The Banning of Unregulated Deposit Schemes Ordinance 2019,21,57
"ARMS ACT, 1959",25(1),57
"The Prohibition of Employment as Manual Scavengers and their Rehabilitation Act, 2013",9,57
"Juvenile Justice (Care and Protection of Children) Act, 2015",77,56
"ARMS ACT, 1959",27(2),56
"INDIAN MOTOR VEHICLES ACT, 1988",100,56
"INDIAN MOTOR VEHICLES ACT, 1988",133,56
"INDIAN MOTOR VEHICLES ACT, 1988",185(A),56
"KARNATAKA POLICE ACT, 1963",96(D),56
DRUGS CONTROL ACT 1950,13,56
"Cigarettes and Other Tobacco Products (Prohibition of Advertisement and Regulation of Trade and Commerce, Production,Supply and Distribution) Rules - 2004",22,55
IPC 1860,462,55
"SC AND THE ST (PREVENTION OF ATTROCITIES) ACT, 1989",3,55
(va) IPC 1860,504,55
"KARNATAKA POLICE ACT, 1963",104,55
DRUGS CONTROL ACT 1950,6,55
IPC 1860,174,55
"PREVENTION OF DESTRUCTION AND LOSS OF PROPERTY ACT, 1981",2(B),54
"REPRESENTATION OF PEOPLE ACT, 1950,1951,1989",123(2),54
"KARNATAKA EXCISE ACT, 1965",38,54
(va) IPC 1860,34,54
IPC 1860,326(B),54
IPC 1860,390,54
IPC 1860,410,54
"PREVENTION OF CRUELTY TO ANIMALS ACT, 1960",12,54
"INDIAN MOTOR VEHICLES ACT, 1988",128(2),54
(r)(s)(2)(va) IPC 1860,504,54
DRUGS CONTROL ACT 1950,5,54
DRUGS CONTROL ACT 1950,4,54
"EXPLOSIVE ACT, 1884",5,53
"ARMS ACT, 1959",25(B),53
"NARCOTIC DRUGS AND PSYCHOTROPIC SUBSTANCES ACT, 1985",8,53
"SC AND THE ST (PREVENTION OF ATTROCITIES) ACT, 1989",4,53
IPC 1860,455,53
"SC AND THE ST (PREVENTION OF ATTROCITIES) ACT, 1989",3(XI),53
IPC 1860,320,53
IPC 1860,210,53
KARNTAKA PREVENTION OF COW SLANGHTER & CATTLE PREVENTION ACT-1964,11(1),53
KARNATAKA MINOR MINERAL CONSISTENT RULE 1994,31R(8),52
"IMMORAL TRAFFIC PREVENTION ACT, 1956",4(1),52
"PREV. OF DAMAGE TO PUBLIC PROPERTY ACT, 1984",3(1),52
INFORMATION TECHNOLOGY ACT 2008,84(c),52
(n) Prohibition of Child Marriage Act 2006,9,52
"WILD LIFE (PROTECTION) ACT, 1972",40,52
KARNATAKA FOREST ACT 1963,104,52
"PRISONS ACT, 1894",42,52
INDIAN ELECTRICITY ACT (AMEND.) 2003,138,52
"NARCOTIC DRUGS & PSYCHOTROPIC SUBSTANCES ACT, 1985",20(B)2(a),51
(D) KARNTAKA PREVENTION OF COW SLANGHTER & CATTLE PREVENTION ACT-1964,9,51
(D) KARNTAKA PREVENTION OF COW SLANGHTER & CATTLE PREVENTION ACT-1964,11,51
KARNATAKA FOREST ACT 1963,84,51
IPC 1860,444,51
"(r),3(1)(s) IPC 1860",326,51
IPC 1860,376(L),51
MMDR (MINES AND MINERALS REGULATION OF DEVELOPMENT) ACT 1957,3(1),51
KARNATAKA LOTTERY AND PRIZE COMPITATION CONTROL AND TAX ACT 1951,4(1),51
"CODE OF CRIMINAL PROCEDURE, 1973",174,50
"/181 INDIAN MOTOR VEHICLES ACT, 1988",146,50
IPC 1860,207,50
IPC 1860,400,50
IPC 1860,322,50
"(r),3(1)(s) IPC 1860",147,50
"SC AND THE ST (PREVENTION OF ATTROCITIES) ACT, 1989",2(v),50
(n) PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012,4(2),50
"EXPLOSIVE SUBSTANCES ACT, 1908",6,50
"NARCOTIC DRUGS AND PSYCHOTROPIC SUBSTANCES ACT, 1985",20,50
IPC 1860,118,50
"WILD ANIMAL PROTECTION ACT, 1972",39,50
THE KARNATAKA PREVENTION OF CHARGING EXORBITANT INTEREST ACT 2004,4,50
"THE KARNATAKA EPIDEMIC DISEASES ACT, 2020",10,50
IPC 1860,43,49
(s) IPC 1860,504,49
"Maintenance and Welfare of Parents and Senior Citizens Act, 2007",24,49
"(II),5(L),6 IPC 1860",376(2),48
"INDIAN MOTOR VEHICLES ACT, 1988",21(X),48
"INDIAN MOTOR VEHICLES ACT, 1988",177(3),48
IPC 1860,458,48
"INDIAN MOTOR VEHICLES ACT, 1988",182A,48
IPC 1860,183,48
IPC 1860,362,48
